X,Y
4.1581277994,3.5897781214
4.1490706507,3.5906880309
4.1410209437,3.5938769674
4.377196282,3.5697781524
4.3862535774,3.568868243
4.3943031377,3.5656793798
6.9661278411,3.5897781214
6.9570705458,3.5906880309
6.9490209854,3.5938769674
7.1851963238,3.5697781524
7.1942534725,3.568868243
7.2023031795,3.5656793798
4.4701279018,3.5897781214
4.4610706064,3.5906880309
4.4530209728,3.5938769674
4.6891962378,3.5697781524
4.6982535331,3.568868243
4.7063031668,3.5656793798
4.7821278576,3.5897781214
4.7730706355,3.5906880309
4.7650210018,3.5938769674
5.0011962669,3.5697781524
5.0102534889,3.568868243
5.0183031226,3.5656793798
5.4061278791,3.5897781214
5.397070602,3.5906880309
5.3890209683,3.5938769674
5.6251962517,3.5697781524
5.6342535241,3.568868243
5.6423031464,3.5656793798
6.3421278563,3.5897781214
6.3330706343,3.5906880309
6.3250210006,3.5938769674
6.5611962656,3.5697781524
6.5702534876,3.568868243
6.5783031213,3.5656793798
5.7181278715,3.5897781214
5.709070599,3.5906880309
5.7010209768,3.5938769674
5.9371962441,3.5697781524
5.9462535211,3.568868243
5.9543031548,3.5656793798
5.0941278866,3.5897781214
5.0850705913,3.5906880309
5.0770209943,3.5938769674
5.3131962593,3.5697781524
5.322253518,3.568868243
5.3303031517,3.5656793798
6.0301278639,3.5897781214
6.0210706052,3.5906880309
6.0130209715,3.5938769674
6.2491962365,3.5697781524
6.2582535319,3.568868243
6.2663031289,3.5656793798
6.6541278854,3.5897781214
6.64507059,3.5906880309
6.6370209563,3.5938769674
6.8731962214,3.5697781524
6.8822535167,3.568868243
6.8903031504,3.5656793798
6.4100591849,4.2875577006
6.4101500438,4.2875936335
6.4073271831,4.2870511198
6.4003764367,4.2860887042
6.3872065822,4.284748773
6.3687757818,4.2833808288
6.3462603619,4.2822264288
6.3214863748,4.2814906107
6.302970802,4.2813345592
3.2558519292,3.209733575
3.2550961646,3.2088396887
3.2551340042,3.2087201934
3.2608678713,3.2141378508
3.2581400495,3.2117485684
3.2561885253,3.2098584969
4.1775745481,3.6980935035
4.1773747904,3.6983419539
4.1772320854,3.6985194919
4.177146433,3.698626044
4.1771178334,3.6986615369
4.2473020092,3.7131936157
4.2473765151,3.7123506588
4.2474777139,3.711205792
4.2476054591,3.7097601887
4.247759604,3.7080156822
4.2479400019,3.7059741791
4.2481463595,3.7036380994
4.2483786768,3.7010102298
4.2486363672,3.6980935035
4.2866877143,3.6980935035
4.2869455513,3.7010102298
4.2871777219,3.7036380994
4.2873840795,3.7059741791
4.2875644775,3.7080156822
4.2877186224,3.7097601887
4.2878463675,3.711205792
4.2879475664,3.7123506588
4.2880220722,3.7131936157
6.8542062607,3.6986615369
6.8541777344,3.698626044
6.8540920821,3.6985194919
6.8539493037,3.6983419539
6.8537496193,3.6980935035
6.6735745607,3.6980935035
6.673374803,3.6983419539
6.673232098,3.6985194919
6.6731464457,3.698626044
6.673117846,3.6986615369
6.7433020952,3.7131936157
6.7433765277,3.7123506588
6.7434777265,3.711205792
